iter	Passed	Remaining
281	64286	163680
282	64493	163397
283	64714	163152
284	64920	162870
285	65165	162684
286	65376	162416
287	65581	162132
288	65801	161884
289	65999	161585
290	66203	161299
291	66429	161067
292	66643	160808
293	66846	160522
294	67056	160254
295	67265	159983
296	67475	159714
297	67700	159481
298	67915	159226
299	68124	158956
300	68389	158818
301	68594	158540
302	68824	158319
303	69074	158143
304	69275	157856
305	69485	157591
306	69695	157325
307	69908	157067
308	70115	156795
309	70319	156517
310	70522	156237
311	70729	155967
312	70938	155701
313	71156	155455
314	71375	155214
315	71592	154965
316	71800	154700
317	72003	154422
318	72200	154133
319	72402	153856
320	72610	153591
321	72877	153450
322	73087	153189
323	73289	152911
324	73513	152681
325	73719	152413
326	73937	152170
327	74160	151938
328	74364	151667
329	74563	151387
330	74770	151122
331	74980	150864
332	75180	150586
333	75380	150309
334	75593	150059
335	75813	149821
336	76017	149554
337	76217	149278
338	76421	149010
339	76665	148820
340	76867	148549
341	77087	148313
342	77285	148036
343	77477	147747
344	77684	147488
345	77887	147220
346	78177	147118
347	78394	146876
348	78626	146664
349	78830	146399
350	79033	146132
351	79236	145867
352	79444	145610
353	79645	145342
354	79857	145092
355	80059	144825
356	80256	144551
357	80461	144292
358	80665	144029
359	80872	143773
360	81083	143524
361	81329	143337
362	81534	143078
363	81735	142812
364	82019	142691
365	82333	142621
366	82564	142407
367	82856	142297
368	83158	142202
369	83394	141995
370	83614	141761
371	83843	141542
372	84056	141295
373	84269	141049
374	84479	140799
375	84712	140587
376	84935	140358
377	85151	140116
378	85367	139876
379	85630	139713
380	85885	139535
381	86130	139341
382	86335	139083
383	86534	138815
384	86733	138549
385	86933	138282
386	87125	138005
387	87331	137749
388	87538	137496
389	87736	137228
390	87943	136975
391	88137	136703
392	88337	136440
393	88531	136167
394	88733	135907
395	88941	135658
396	89135	135386
397	89327	135112
398	89517	134837
399	89711	134566
400	89919	134318
401	90107	134040
402	90303	133774
403	90498	133507
404	90701	133252
405	90899	132991
406	91111	132750
407	91327	132514
408	91525	132253
409	91721	131988
410	91924	131736
411	92164	131535
412	92351	131259
413	92546	130996
414	92741	130731
415	92940	130474
416	93149	130230
417	93329	129946
418	93531	129694
419	93750	129464
420	93946	129204
421	94138	128939
422	94335	128679
423	94530	128419
424	94727	128160
425	94931	127912
426	95135	127664
427	95329	127402
428	95538	127161
429	95739	126910
430	95937	126654
431	96130	126394
432	96323	126132
433	96526	125884
434	96723	125629
435	96916	125369
436	97106	125105
437	97306	124854
438	97499	124594
439	97695	124340
440	97898	124093
441	98102	123848
442	98367	123681
443	98573	123439
444	98769	123184
445	98976	122944
446	99167	122684
447	99369	122437
448	99594	122219
449	99792	121969
450	99993	121722
451	100178	121455
452	100371	121198
453	100563	120942
454	100762	120693
455	100958	120442
456	101154	120189
457	101368	119959
458	101582	119729
459	101792	119495
460	101993	119250
461	102190	119001
462	102393	118758
463	102596	118516
464	102794	118269
465	102998	118028
466	103206	117792
467	103400	117541
468	103631	117331
469	103819	117072
470	104015	116824
471	104208	116571
472	104418	116339
473	104608	116084
474	104796	115827
475	104987	115574
476	105176	115319
477	105375	115075
478	105571	114827
479	105757	114570
480	105958	114329
481	106141	114069
482	106328	113813
483	106535	113579
484	106736	113338
485	106929	113090
486	107110	112828
487	107294	112571
488	107519	112356
489	107723	112120
490	107917	111873
491	108115	111631
492	108304	111380
493	108485	111121
494	108682	110877
495	108864	110620
496	109060	110377
497	109255	110133
498	109448	109887
499	109649	109649
500	109859	109421
501	110054	109178
502	110245	108930
503	110443	108690
504	110627	108436
505	110820	108192
506	111023	107957
507	111281	107776
508	111475	107533
509	111677	107297
510	111862	107046
511	112053	106800
512	112266	106576
513	112492	106364
514	112701	106136
515	112903	105901
516	113090	105653
517	113275	105402
518	113465	105158
519	113651	104909
520	113848	104670
521	114037	104424
522	114231	104184
523	114435	103952
524	114624	103707
525	114821	103470
526	115002	103218
527	115226	103005
528	115423	102768
529	115616	102528
530	115798	102277
531	115994	102040
532	116181	101795
533	116378	101559
534	116569	101317
535	116767	101082
536	116955	100838
537	117146	100597
538	117329	100350
539	117527	100115
540	117710	99869
541	117905	99632
542	118091	99387
543	118293	99157
544	118478	98913
545	118673	98676
546	118860	98434
547	119043	98189
548	119267	97977
549	119461	97741
550	119660	97509
551	119851	97271
552	120041	97031
553	120242	96801
554	120428	96560
555	120611	96315
556	120796	96073
557	120987	95836
558	121195	95612
559	121393	95380
560	121582	95141
561	121774	94906
562	121967	94670
563	122146	94425
564	122329	94182
565	122534	93957
566	122728	93724
567	122922	93490
568	123119	93259
569	123349	93052
570	123548	92823
571	123734	92584
572	123920	92345
573	124103	92104
574	124298	91872
575	124488	91637
576	124668	91394
577	124860	91161
578	125051	90926
579	125249	90698
580	125433	90458
581	125617	90220
582	125801	89981
583	125996	89750
584	126195	89522
585	126391	89293
586	126573	89053
587	126757	88816
588	126952	88586
589	127140	88351
590	127375	88150
591	127557	87910
592	127733	87668
593	127934	87443
594	128155	87231
595	128351	87003
596	128533	86765
597	128728	86536
598	128923	86307
599	129110	86073
600	129315	85851
601	129506	85620
602	129685	85381
603	129888	85158
604	130079	84927
605	130267	84695
606	130446	84457
607	130629	84221
608	130821	83991
609	131010	83761
610	131209	83535
611	131433	83327
612	131617	83092
613	131803	82860
614	132001	82635
615	132190	82404
616	132374	82171
617	132569	81944
618	132757	81713
619	132949	81484
620	133144	81259
621	133334	81029
622	133524	80800
623	133720	80575
624	133924	80354
625	134118	80128
626	134309	79900
627	134494	79668
628	134690	79443
629	134878	79214
630	135072	78988
631	135298	78781
632	135485	78551
633	135670	78321
634	135856	78090
635	136045	77862
636	136241	77638
637	136439	77415
638	136629	77188
639	136825	76964
640	137025	76742
641	137221	76519
642	137418	76295
643	137602	76065
644	137798	75842
645	137989	75616
646	138178	75389
647	138374	75166
648	138564	74940
649	138745	74709
650	138937	74484
651	139167	74279
652	139346	74047
653	139534	73820
654	139719	73592
655	139910	73367
656	140096	73139
657	140276	72909
658	140466	72684
659	140655	72459
660	140837	72229
661	141031	72006
662	141231	71787
663	141432	71568
664	141623	71344
665	141818	71122
666	142009	70898
667	142192	70670
668	142385	70448
669	142569	70221
670	142755	69994
671	142952	69774
672	143135	69547
673	143367	69344
674	143550	69117
675	143745	68895
676	143942	68675
677	144133	68452
678	144325	68230
679	144523	68011
680	144706	67784
681	144904	67565
682	145094	67342
683	145287	67121
684	145484	66901
685	145669	66676
686	145861	66454
687	146060	66236
688	146255	66016
689	146442	65793
690	146642	65575
691	146841	65357
692	147041	65139
693	147279	64938
694	147470	64717
695	147660	64495
696	147873	64283
697	148054	64058
698	148252	63839
699	148436	63615
700	148622	63392
701	148811	63170
702	149012	62954
703	149204	62733
704	149387	62509
705	149604	62299
706	149794	62078
707	149980	61856
708	150172	61636
709	150375	61421
710	150562	61199
711	150748	60976
712	150937	60756
713	151141	60541
714	151369	60336
715	151573	60121
716	151758	59899
717	151961	59683
718	152144	59461
719	152339	59242
720	152537	59026
721	152721	58804
722	153000	58618
723	153193	58399
724	153381	58179
725	153576	57961
726	153764	57740
727	153959	57523
728	154146	57302
729	154338	57084
730	154531	56865
731	154723	56647
732	154919	56430
733	155121	56215
734	155352	56011
735	155540	55791
736	155723	55570
737	155923	55355
738	156122	55139
739	156319	54923
740	156514	54706
741	156705	54487
742	156892	54268
743	157089	54052
744	157280	53834
745	157461	53612
746	157659	53397
747	157843	53177
748	158029	52957
749	158275	52758
750	158465	52540
751	158665	52325
752	158859	52109
753	159040	51888
754	159264	51681
755	159466	51468
756	159650	51248
757	159840	51031
758	160038	50815
759	160232	50599
760	160432	50385
761	160624	50168
762	160817	49952
763	161015	49737
764	161229	49527
765	161457	49322
766	161656	49108
767	161852	48892
768	162044	48676
769	162225	48457
770	162421	48241
771	162600	48021
772	162792	47805
773	162992	47592
774	163184	47376
775	163418	47172
776	163611	46956
777	163811	46743
778	164003	46527
779	164193	46310
780	164388	46096
781	164581	45880
782	164764	45662
783	164972	45451
784	165167	45237
785	165357	45021
786	165550	44805
787	165750	44592
788	165947	44378
789	166140	44164
790	166337	43950
791	166530	43735
792	166717	43518
793	166917	43306
794	167108	43090
795	167293	42874
796	167494	42661
797	167727	42457
798	167913	42241
799	168105	42026
800	168296	41811
801	168486	41596
802	168677	41381
803	168876	41168
804	169074	40955
805	169261	40740
806	169455	40526
807	169652	40313
808	169840	40098
809	170035	39884
810	170223	39669
811	170415	39455
812	170607	39241
813	170803	39028
814	170993	38814
815	171187	38601
816	171398	38391
817	171621	38184
818	171822	37972
819	172008	37758
820	172208	37546
821	172405	37333
822	172616	37123
823	172804	36909
824	173014	36700
825	173209	36487
826	173396	36272
827	173588	36059
828	173788	35847
829	173989	35636
830	174192	35425
831	174392	35213
832	174592	35002
833	174784	34789
834	174972	34575
835	175172	34364
836	175369	34151
837	175562	33939
838	175799	33735
839	175992	33522
840	176180	33308
841	176375	33096
842	176570	32884
843	176792	32677
844	176992	32465
845	177181	32252
846	177368	32039
847	177563	31827
848	177751	31614
849	177948	31402
850	178150	31192
851	178343	30979
852	178540	30768
853	178726	30555
854	178923	30343
855	179114	30131
856	179300	29918
857	179495	29706
858	179718	29499
859	179914	29288
860	180102	29075
861	180297	28864
862	180501	28654
863	180689	28441
864	180884	28230
865	181090	28020
866	181284	27809
867	181479	27598
868	181672	27386
869	181866	27175
870	182059	26964
871	182244	26751
872	182435	26539
873	182620	26327
874	182824	26117
875	183021	25907
876	183211	25695
877	183401	25484
878	183598	25273
879	183826	25067
880	184024	24856
881	184205	24644
882	184406	24434
883	184592	24222
884	184783	24011
885	184979	23800
886	185173	23590
887	185364	23379
888	185551	23167
889	185748	22957
890	185953	22748
891	186146	22537
892	186338	22327
893	186528	22116
894	186732	21907
895	186921	21696
896	187108	21485
897	187306	21275
898	187501	21065
899	187687	20854
900	187878	20643
901	188084	20434
902	188332	20230
903	188551	20023
904	188750	19813
905	188937	19602
906	189132	19392
907	189340	19184
908	189531	18974
909	189735	18765
910	189945	18556
911	190140	18346
912	190339	18137
913	190521	17926
914	190710	17716
915	190905	17506
916	191114	17298
917	191323	17089
918	191514	16879
919	191703	16669
920	191902	16460
921	192103	16251
922	192289	16041
923	192476	15831
924	192666	15621
925	192855	15411
926	193052	15202
927	193248	14993
928	193442	14784
929	193662	14576
930	193857	14367
931	194058	14158
932	194250	13949
933	194441	13739
934	194624	13530
935	194816	13320
936	195010	13111
937	195200	12902
938	195388	12692
939	195579	12483
940	195778	12275
941	195969	12066
942	196158	11856
943	196347	11647
944	196535	11438
945	196716	11229
946	196906	11020
947	197101	10811
948	197292	10602
949	197480	10393
950	197676	10185
951	197862	9976
952	198057	9767
953	198249	9559
954	198438	9350
955	198627	9141
956	198850	8934
957	199036	8726
958	199229	8517
959	199414	8308
960	199604	8100
961	199796	7892
962	199987	7683
963	200196	7476
964	200380	7267
965	200577	7059
966	200770	6851
967	200964	6643
968	201180	6436
969	201373	6228
970	201566	6020
971	201759	5812
972	201959	5604
973	202148	5396
974	202338	5188
975	202535	4980
976	202719	4772
977	202914	4564
978	203108	4356
979	203310	4149
980	203498	3941
981	203691	3733
982	203883	3525
983	204119	3319
984	204317	3111
985	204501	2903
986	204703	2696
987	204893	2488
988	205106	2281
989	205299	2073
990	205481	1866
991	205680	1658
992	205873	1451
993	206069	1243
994	206253	1036
995	206443	829
996	206622	621
997	206813	414
998	207003	207
999	207203	0
