iter	MultiClass
0	1.006702727
1	0.9265580048
2	0.8566310245
3	0.7947211778
4	0.7397876595
5	0.6908842174
6	0.6461302121
7	0.6061361191
8	0.5693058609
9	0.5357590065
10	0.5046968372
11	0.4763295644
12	0.4500076993
13	0.4256669433
14	0.4033309796
15	0.3827211452
16	0.3636438677
17	0.3455236848
18	0.3287028585
19	0.312965614
20	0.2983583249
21	0.284672912
22	0.271781295
23	0.2597283706
24	0.2485566841
25	0.2379428957
26	0.2280749462
27	0.2186998105
28	0.2099036239
29	0.2016590322
30	0.1938814238
31	0.1865506687
32	0.1796964879
33	0.1732107034
34	0.1671389089
35	0.161412183
36	0.1560140653
37	0.1509539338
38	0.1461591799
39	0.1415916003
40	0.1373198637
41	0.133233753
42	0.1294486921
43	0.1257972048
44	0.1223756702
45	0.1191520714
46	0.1160725742
47	0.1131867228
48	0.1104153585
49	0.1078274382
50	0.1053807379
51	0.1030552073
52	0.1008443841
53	0.09879691069
54	0.09684881831
55	0.09497460732
56	0.09323842103
57	0.09159578812
58	0.09000509704
59	0.08851953224
60	0.08711039158
61	0.08581580507
62	0.08457625049
63	0.08338191911
64	0.08226742013
65	0.08120846927
66	0.08024996104
67	0.07926588579
68	0.07834488026
69	0.07747269941
70	0.07664688438
71	0.07590180057
72	0.07517540644
73	0.07449285818
74	0.07382519984
75	0.07328576694
76	0.07267676214
77	0.0722402796
78	0.07174015127
79	0.07124442577
80	0.07076506677
81	0.07046592351
82	0.07009692203
83	0.06979460383
84	0.06935307754
85	0.06908535182
86	0.06872834183
87	0.06844588713
88	0.06823452493
89	0.06802723783
90	0.06780667049
91	0.06744534072
92	0.06717707152
93	0.06690832471
94	0.06676194187
95	0.06658489247
96	0.0664013548
97	0.06618468316
98	0.06604430183
99	0.06592729049
100	0.06577105111
101	0.0656495861
102	0.06552088201
103	0.06541627789
104	0.06533132262
105	0.06519723824
106	0.0650437865
107	0.06488833367
108	0.06470857214
109	0.06461619166
110	0.06454908702
111	0.06444882054
112	0.06435345065
113	0.06425778934
114	0.0641651514
115	0.06400138452
116	0.06389002534
117	0.06380948928
118	0.06371040239
119	0.06365015112
120	0.06358824566
121	0.06343039538
122	0.06335385404
123	0.06329328837
124	0.06323519083
125	0.06318309839
126	0.06314856943
127	0.06310052413
128	0.06302779838
129	0.06298080594
130	0.06290676875
131	0.06284240692
132	0.0628012538
133	0.06275916615
134	0.06271856947
135	0.06259108846
136	0.06254658316
137	0.0625097728
138	0.06246007222
139	0.06240817301
140	0.06235547904
141	0.06230967965
142	0.06227640361
143	0.0622338496
144	0.06217290676
145	0.06207899131
146	0.06202216795
147	0.06198552711
148	0.06195558308
149	0.06191660285
150	0.06187060313
151	0.06184791564
152	0.06181255011
153	0.06176523043
154	0.0617202397
155	0.06164122985
156	0.06160567132
157	0.06157321022
158	0.06155175512
159	0.06145235325
160	0.06142159091
161	0.06137910844
162	0.06131908609
163	0.06129486371
164	0.06126363018
165	0.06124039285
166	0.06120378885
167	0.06117797534
168	0.06115405038
169	0.06110589777
170	0.06108233398
171	0.06104480976
172	0.06102427331
173	0.06100136757
174	0.06097580342
175	0.06094455847
176	0.06091891967
177	0.06090144447
178	0.06088388824
179	0.06085002428
180	0.06082976888
181	0.06076648319
182	0.06073585345
183	0.06071317822
184	0.06070032324
185	0.06067439097
186	0.06064411944
187	0.06061532708
188	0.06058496757
189	0.06055298669
190	0.06052179834
191	0.06047938702
192	0.06044118904
193	0.06041029499
194	0.06038744353
195	0.06036824178
196	0.06034529882
197	0.06032375359
198	0.06030312446
199	0.06028226539
200	0.06024032898
201	0.06021821292
202	0.06018735702
203	0.06015493538
204	0.06012859561
205	0.06011195011
206	0.06008695381
207	0.06005318079
208	0.06003276068
209	0.06000039858
210	0.05997347621
211	0.05994303664
212	0.05992444239
213	0.05989789824
214	0.05987148077
215	0.05985630472
216	0.05982295084
217	0.05980608776
218	0.05979046568
219	0.05976902609
220	0.05974366008
221	0.05972100124
222	0.05970470812
223	0.05968302142
224	0.05966807809
225	0.05963939471
226	0.05961146338
227	0.05959016796
228	0.05957469302
229	0.05953679727
230	0.05951717023
231	0.05949177367
232	0.05947051583
233	0.05944016723
234	0.05941696884
235	0.05939918197
236	0.05938502253
237	0.05936960065
238	0.05934412998
239	0.05932568903
240	0.05929093059
241	0.05927158627
242	0.05925340331
243	0.0592364963
244	0.05921175383
245	0.05917596938
246	0.05915921828
247	0.05914280035
248	0.05913138897
249	0.05909902736
250	0.05907263483
251	0.05906078275
252	0.05904695119
253	0.05902621483
254	0.05901220908
255	0.05898391424
256	0.05895808038
257	0.05891870677
258	0.05889121359
259	0.05887730977
260	0.0588312597
261	0.0588207861
262	0.05879753844
263	0.05878428371
264	0.05877601797
265	0.05875564748
266	0.0587253243
267	0.05870194869
268	0.05868270044
269	0.05865100146
270	0.05863075039
271	0.0586183502
272	0.05859752464
273	0.05858076644
274	0.05856159038
275	0.05855380506
276	0.05852860086
277	0.05851890017
278	0.0585074622
279	0.05848778355
280	0.05846200379
281	0.05843359081
282	0.05839348219
283	0.05837593524
284	0.05836196417
285	0.05834123508
286	0.05832555508
287	0.0583074125
288	0.05829507195
289	0.05827770201
290	0.05826050181
291	0.05823988091
292	0.05822796876
293	0.05819934838
294	0.05817775559
295	0.05814457132
296	0.05812402547
297	0.05811154504
298	0.05809863332
299	0.05806658064
300	0.05804397818
301	0.05802540666
302	0.05801348976
303	0.05797256387
304	0.05795549776
305	0.05794172023
306	0.05791876326
307	0.05790406312
308	0.05789143581
309	0.05787355054
310	0.05785931413
311	0.05782778045
312	0.05780832777
313	0.05778950194
314	0.05776528537
315	0.05775166741
316	0.05773696487
317	0.05772252504
318	0.0577080779
319	0.05769285405
320	0.05768177638
321	0.05766766239
322	0.05765614631
323	0.05763871896
324	0.05762538335
325	0.05760751774
326	0.05759284788
327	0.05757699343
328	0.05756087795
329	0.05754560163
330	0.05753868796
331	0.05751629297
332	0.05749511363
333	0.05747788248
334	0.05746829975
335	0.05745630451
336	0.0574353814
337	0.05739751137
338	0.05738498575
339	0.05736939773
340	0.05734701491
341	0.05733301299
342	0.05730225414
343	0.0572906228
344	0.05727155146
345	0.05725096157
346	0.05721930868
347	0.0572074117
348	0.05719472058
349	0.05717614342
350	0.05715848975
351	0.05714019726
352	0.05713009975
353	0.05711570088
354	0.0570955534
355	0.05707772457
356	0.05706413953
357	0.05704868812
358	0.05703606007
359	0.05701774532
360	0.05699951955
361	0.05699342218
362	0.0569740694
363	0.0569582714
364	0.05694247282
365	0.0569279753
366	0.05691390244
367	0.05689557593
368	0.05688245009
369	0.05687009468
370	0.05686477341
371	0.05684256772
372	0.05683147338
373	0.05679789039
374	0.05678110333
375	0.05676536259
376	0.05673945832
377	0.0567210869
378	0.05669374566
379	0.05668197519
380	0.05667008139
381	0.05665323739
382	0.05664264832
383	0.05662955193
384	0.05660873826
385	0.05659164697
386	0.05657924993
387	0.05656544067
388	0.0565478184
389	0.05653418808
390	0.05652690976
391	0.05650900151
392	0.05649442109
393	0.05645585029
394	0.0564445733
395	0.05642930215
396	0.05642055437
397	0.05640172248
398	0.05638874919
399	0.05636798887
400	0.0563527034
401	0.0563428978
402	0.05631007327
403	0.05628718049
404	0.05627212955
405	0.05626407962
406	0.05624600112
407	0.05623058081
408	0.05621928967
409	0.0561973428
410	0.05618444195
411	0.05617712903
412	0.056159454
413	0.05614660704
414	0.05612233251
415	0.05610436344
416	0.05609388536
417	0.05608099993
418	0.05606731867
419	0.05605171242
420	0.0560381138
421	0.05602398832
422	0.05601422031
423	0.05600156629
424	0.05598367129
425	0.05596567924
426	0.05595081812
427	0.05594201904
428	0.05593533801
429	0.05592190966
430	0.05590714606
431	0.0558925745
432	0.05587536626
433	0.05585998875
434	0.0558355337
435	0.05582294886
436	0.05580620507
437	0.05579958694
438	0.05578616415
439	0.05577650546
440	0.05576429431
441	0.05574350764
442	0.0557239544
443	0.05570748492
444	0.05569236076
445	0.05568081872
446	0.05565989708
447	0.0556474101
448	0.05563734008
449	0.05562987882
450	0.05561883962
451	0.05560615515
452	0.05559573514
453	0.05558464978
454	0.05556621314
455	0.05555542155
456	0.05551824643
457	0.05550517156
458	0.05549546486
459	0.05547418324
460	0.05546309102
461	0.05545074345
462	0.0554449297
463	0.05543346642
464	0.05542340235
465	0.05540971238
466	0.05538544402
467	0.05536816316
468	0.05535587041
469	0.05534013808
470	0.05533075275
471	0.05532034572
472	0.0553065412
473	0.0552943366
474	0.05528209288
475	0.05526711001
476	0.05525023246
477	0.05523246621
478	0.05522612488
479	0.0552112825
480	0.0552007661
481	0.05518277283
482	0.05516789601
483	0.05516081132
